Approved symbol,Approved name,Status,Chromosome,Ensembl gene ID,Mitochondria,chr,arm,pos
PFN1P10,profilin 1 pseudogene 10,Approved,1p36.12,ENSG00000176378,no,01,p,36.12
PINK1,PTEN induced kinase 1,Approved,1p36.12,ENSG00000158828,no,01,p,36.12
PINK1-AS,PINK1 antisense RNA,Approved,1p36.12,ENSG00000117242,no,01,p,36.12
PLA2G2C,phospholipase A2 group IIC,Approved,1p36.12,ENSG00000187980,no,01,p,36.12
PLA2G2D,phospholipase A2 group IID,Approved,1p36.12,ENSG00000117215,no,01,p,36.12
PLA2G2F,phospholipase A2 group IIF,Approved,1p36.12,ENSG00000158786,no,01,p,36.12
PPIAP34,peptidylprolyl isomerase A pseudogene 34,Approved,1p36.12,ENSG00000234397,no,01,p,36.12
PPP1R11P1,protein phosphatase 1 regulatory inhibitor subunit 11 pseudogene 1,Approved,1p36.12,ENSG00000236216,no,01,p,36.12
RAP1GAP,RAP1 GTPase activating protein,Approved,1p36.12,ENSG00000076864,no,01,p,36.12
RN7SL186P,"RNA, 7SL, cytoplasmic 186, pseudogene",Approved,1p36.12,ENSG00000278124,no,01,p,36.12
RN7SL386P,"RNA, 7SL, cytoplasmic 386, pseudogene",Approved,1p36.12,ENSG00000273610,no,01,p,36.12
RNU6-135P,"RNA, U6 small nuclear 135, pseudogene",Approved,1p36.12,ENSG00000252578,no,01,p,36.12
RNU6-514P,"RNA, U6 small nuclear 514, pseudogene",Approved,1p36.12,ENSG00000206935,no,01,p,36.12
RNU6-776P,"RNA, U6 small nuclear 776, pseudogene",Approved,1p36.12,ENSG00000201273,no,01,p,36.12
RNU6-1022P,"RNA, U6 small nuclear 1022, pseudogene",Approved,1p36.12,ENSG00000201919,no,01,p,36.12
RNU7-200P,"RNA, U7 small nuclear 200 pseudogene",Approved,1p36.12,ENSG00000251914,no,01,p,36.12
RPS4XP4,ribosomal protein S4X pseudogene 4,Approved,1p36.12,ENSG00000215520,no,01,p,36.12
RPS15AP6,ribosomal protein S15a pseudogene 6,Approved,1p36.12,ENSG00000233072,no,01,p,36.12
SH2D5,SH2 domain containing 5,Approved,1p36.12,ENSG00000189410,no,01,p,36.12
TCEA3,transcription elongation factor A3,Approved,1p36.12,ENSG00000204219,no,01,p,36.12
TEX46,testis expressed 46,Approved,1p36.12,ENSG00000227868,no,01,p,36.12
UBXN10,UBX domain protein 10,Approved,1p36.12,ENSG00000162543,no,01,p,36.12
USP48,ubiquitin specific peptidase 48,Approved,1p36.12,ENSG00000090686,no,01,p,36.12
VWA5B1,von Willebrand factor A domain containing 5B1,Approved,1p36.12,ENSG00000158816,no,01,p,36.12
WNT4,Wnt family member 4,Approved,1p36.12,ENSG00000162552,no,01,p,36.12
ZBTB40,zinc finger and BTB domain containing 40,Approved,1p36.12,ENSG00000184677,no,01,p,36.12
ZBTB40-IT1,ZBTB40 intronic transcript 1,Approved,1p36.12,ENSG00000237200,no,01,p,36.12
ZNF436,zinc finger protein 436,Approved,1p36.12,ENSG00000125945,no,01,p,36.12
ZNF436-AS1,ZNF436 antisense RNA 1,Approved,1p36.12,ENSG00000249087,no,01,p,36.12
ACTL8,actin like 8,Approved,1p36.13,ENSG00000117148,no,01,p,36.13
AKR7A2,aldo-keto reductase family 7 member A2,Approved,1p36.13,ENSG00000053371,no,01,p,36.13
AKR7A3,aldo-keto reductase family 7 member A3,Approved,1p36.13,ENSG00000162482,no,01,p,36.13
AKR7L,aldo-keto reductase family 7 like (gene/pseudogene),Approved,1p36.13,ENSG00000211454,no,01,p,36.13
ALDH4A1,aldehyde dehydrogenase 4 family member A1,Approved,1p36.13,ENSG00000159423,no,01,p,36.13
ANO7L1,anoctamin 7 like 1 (pseudogene),Approved,1p36.13,ENSG00000237276,no,01,p,36.13
ARHGEF10L,Rho guanine nucleotide exchange factor 10 like,Approved,1p36.13,ENSG00000074964,no,01,p,36.13
ARHGEF19,Rho guanine nucleotide exchange factor 19,Approved,1p36.13,ENSG00000142632,no,01,p,36.13
ARHGEF19-AS1,ARHGEF19 antisense RNA 1,Approved,1p36.13,ENSG00000234166,no,01,p,36.13
ATP13A2,ATPase cation transporting 13A2,Approved,1p36.13,ENSG00000159363,no,01,p,36.13
CAPZB,capping actin protein of muscle Z-line subunit beta,Approved,1p36.13,ENSG00000077549,no,01,p,36.13
CLCNKA,chloride voltage-gated channel Ka,Approved,1p36.13,ENSG00000186510,no,01,p,36.13
CLCNKB,chloride voltage-gated channel Kb,Approved,1p36.13,ENSG00000184908,no,01,p,36.13
CPLANE2,ciliogenesis and planar polarity effector complex subunit 2,Approved,1p36.13,ENSG00000132881,no,01,p,36.13
CROCC,"ciliary rootlet coiled-coil, rootletin",Approved,1p36.13,ENSG00000058453,no,01,p,36.13
CROCCP2,CROCC pseudogene 2,Approved,1p36.13,ENSG00000215908,no,01,p,36.13
CROCCP3,CROCC pseudogene 3,Approved,1p36.13,ENSG00000080947,no,01,p,36.13
CROCCP4,CROCC pseudogene 4,Approved,1p36.13,ENSG00000227684,no,01,p,36.13
DYNLL1P3,dynein light chain LC8-type 1 pseudogene 3,Approved,1p36.13,ENSG00000235282,no,01,p,36.13
EIF1AXP1,EIF1AX pseudogene 1,Approved,1p36.13,ENSG00000236698,no,01,p,36.13
EMC1,ER membrane protein complex subunit 1,Approved,1p36.13,ENSG00000127463,no,01,p,36.13
EMC1-AS1,EMC1 antisense RNA 1,Approved,1p36.13,ENSG00000230424,no,01,p,36.13
EPHA2,EPH receptor A2,Approved,1p36.13,ENSG00000142627,no,01,p,36.13
EPHA2-AS1,EPHA2 antisense RNA 1,Approved,1p36.13,ENSG00000227959,no,01,p,36.13
ESPNP,espin pseudogene,Approved,1p36.13,ENSG00000268869,no,01,p,36.13
FAM131C,family with sequence similarity 131 member C,Approved,1p36.13,ENSG00000185519,no,01,p,36.13
FAM131C2P,"family with sequence similarity 131 member C2, pseudogene",Approved,1p36.13,ENSG00000232456,no,01,p,36.13
FBXO42,F-box protein 42,Approved,1p36.13,ENSG00000037637,no,01,p,36.13
HSPB7,heat shock protein family B (small) member 7,Approved,1p36.13,ENSG00000173641,no,01,p,36.13
HTR6,5-hydroxytryptamine receptor 6,Approved,1p36.13,ENSG00000158748,no,01,p,36.13
IFFO2,intermediate filament family orphan 2,Approved,1p36.13,ENSG00000169991,no,01,p,36.13
IGSF21,immunoglobin superfamily member 21,Approved,1p36.13,ENSG00000117154,no,01,p,36.13
IGSF21-AS1,IGSF21 antisense RNA 1,Approved,1p36.13,ENSG00000230035,no,01,p,36.13
KLHDC7A,kelch domain containing 7A,Approved,1p36.13,ENSG00000179023,no,01,p,36.13
LINC01654,long intergenic non-protein coding RNA 1654,Approved,1p36.13,ENSG00000261781,no,01,p,36.13
LINC01772,long intergenic non-protein coding RNA 1772,Approved,1p36.13,ENSG00000226029,no,01,p,36.13
LINC01783,long intergenic non-protein coding RNA 1783,Approved,1p36.13,ENSG00000233421,no,01,p,36.13
LINC02783,long intergenic non-protein coding RNA 2783,Approved,1p36.13,ENSG00000204362,no,01,p,36.13
LINC02810,long intergenic non-protein coding RNA 2810,Approved,1p36.13,ENSG00000236648,no,01,p,36.13
MFAP2,microfibril associated protein 2,Approved,1p36.13,ENSG00000117122,no,01,p,36.13
MICOS10,mitochondrial contact site and cristae organizing system subunit 10,Approved,1p36.13,ENSG00000173436,no,01,p,36.13
MICOS10-DT,MICOS10 divergent transcript,Approved,1p36.13,ENSG00000235185,no,01,p,36.13
MICOS10-NBL1,MICOS10-NBL1 readthrough,Approved,1p36.13,ENSG00000270136,no,01,p,36.13
MIR1290,microRNA 1290,Approved,1p36.13,ENSG00000221662,no,01,p,36.13
MRTO4,"MRT4 homolog, ribosome maturation factor",Approved,1p36.13,ENSG00000053372,no,01,p,36.13
MST1L,macrophage stimulating 1 like (pseudogene),Approved,1p36.13,ENSG00000186715,no,01,p,36.13
MST1P2,macrophage stimulating 1 pseudogene 2,Approved,1p36.13,ENSG00000186301,no,01,p,36.13
MT1XP1,metallothionein 1X pseudogene 1,Approved,1p36.13,ENSG00000233929,no,01,p,36.13
NBL1,"NBL1, DAN family BMP antagonist",Approved,1p36.13,ENSG00000158747,no,01,p,36.13
NBPF1,NBPF member 1,Approved,1p36.13,ENSG00000219481,no,01,p,36.13
NECAP2,NECAP endocytosis associated 2,Approved,1p36.13,ENSG00000157191,no,01,p,36.13
OTUD3,OTU deubiquitinase 3,Approved,1p36.13,ENSG00000169914,no,01,p,36.13
PADI1,peptidyl arginine deiminase 1,Approved,1p36.13,ENSG00000142623,no,01,p,36.13
PADI2,peptidyl arginine deiminase 2,Approved,1p36.13,ENSG00000117115,no,01,p,36.13
PADI3,peptidyl arginine deiminase 3,Approved,1p36.13,ENSG00000142619,no,01,p,36.13
PADI4,peptidyl arginine deiminase 4,Approved,1p36.13,ENSG00000159339,no,01,p,36.13
PADI6,peptidyl arginine deiminase 6,Approved,1p36.13,ENSG00000276747,no,01,p,36.13
PAX7,paired box 7,Approved,1p36.13,ENSG00000009709,no,01,p,36.13
PDE4DIPP8,PDE4DIP pseudogene 8,Approved,1p36.13,ENSG00000225710,no,01,p,36.13
PDE4DIPP9,PDE4DIP pseudogene 9,Approved,1p36.13,ENSG00000230239,no,01,p,36.13
PLA2G2A,phospholipase A2 group IIA,Approved,1p36.13,ENSG00000188257,no,01,p,36.13
PLA2G2E,phospholipase A2 group IIE,Approved,1p36.13,ENSG00000188784,no,01,p,36.13
PLA2G5,phospholipase A2 group V,Approved,1p36.13,ENSG00000127472,no,01,p,36.13
RCC2,regulator of chromosome condensation 2,Approved,1p36.13,ENSG00000179051,no,01,p,36.13
RCC2-AS1,RCC2 antisense RNA 1,Approved,1p36.13,ENSG00000227751,no,01,p,36.13
RN7SL277P,"RNA, 7SL, cytoplasmic 277, pseudogene",Approved,1p36.13,ENSG00000240490,no,01,p,36.13
RN7SL304P,"RNA, 7SL, cytoplasmic 304, pseudogene",Approved,1p36.13,ENSG00000242688,no,01,p,36.13
RNF186,ring finger protein 186,Approved,1p36.13,ENSG00000178828,no,01,p,36.13
RNF186-AS1,RNF186 antisense RNA 1,Approved,1p36.13,ENSG00000235434,no,01,p,36.13
RNU1-1,"RNA, U1 small nuclear 1",Approved,1p36.13,ENSG00000206652,no,01,p,36.13
RNU1-2,"RNA, U1 small nuclear 2",Approved,1p36.13,ENSG00000207005,no,01,p,36.13
RNU1-5P,"RNA, U1 small nuclear 5, pseudogene",Approved,1p36.13,ENSG00000277234,no,01,p,36.13
RNU1-6P,"RNA, U1 small nuclear 6, pseudogene",Approved,1p36.13,ENSG00000277344,no,01,p,36.13
RNU4-28P,"RNA, U4 small nuclear 28, pseudogene",Approved,1p36.13,ENSG00000201609,no,01,p,36.13
RNU6-1099P,"RNA, U6 small nuclear 1099, pseudogene",Approved,1p36.13,ENSG00000200403,no,01,p,36.13
RPL22P3,ribosomal protein L22 pseudogene 3,Approved,1p36.13,ENSG00000226457,no,01,p,36.13
SDHB,succinate dehydrogenase complex iron sulfur subunit B,Approved,1p36.13,ENSG00000117118,no,01,p,36.13
SLC66A1,solute carrier family 66 member 1,Approved,1p36.13,ENSG00000040487,no,01,p,36.13
SPATA21,spermatogenesis associated 21,Approved,1p36.13,ENSG00000187144,no,01,p,36.13
SRARP,steroid receptor associated and regulated protein,Approved,1p36.13,ENSG00000183888,no,01,p,36.13
SZRD1,SUZ RNA binding domain containing 1,Approved,1p36.13,ENSG00000055070,no,01,p,36.13
TAS1R2,taste 1 receptor member 2,Approved,1p36.13,ENSG00000179002,no,01,p,36.13
TBC1D3P6,TBC1 domain family member 3 pseudogene 6,Approved,1p36.13,ENSG00000224966,no,01,p,36.13
TMCO4,transmembrane and coiled-coil domains 4,Approved,1p36.13,ENSG00000162542,no,01,p,36.13
UBR4,ubiquitin protein ligase E3 component n-recognin 4,Approved,1p36.13,ENSG00000127481,no,01,p,36.13
ZBTB17,zinc finger and BTB domain containing 17,Approved,1p36.13,ENSG00000116809,no,01,p,36.13
AADACL3,arylacetamide deacetylase like 3,Approved,1p36.21,ENSG00000188984,no,01,p,36.21
AADACL4,arylacetamide deacetylase like 4,Approved,1p36.21,ENSG00000204518,no,01,p,36.21
AGMAT,agmatinase,Approved,1p36.21,ENSG00000116771,no,01,p,36.21
BRWD1P1,bromodomain and WD repeat domain containing 1 pseudogene 1,Approved,1p36.21,ENSG00000215909,no,01,p,36.21
CASP9,caspase 9,Approved,1p36.21,ENSG00000132906,no,01,p,36.21
CD24P1,CD24 molecule pseudogene 1,Approved,1p36.21,ENSG00000236500,no,01,p,36.21
CELA2A,chymotrypsin like elastase 2A,Approved,1p36.21,ENSG00000142615,no,01,p,36.21
CELA2B,chymotrypsin like elastase 2B,Approved,1p36.21,ENSG00000215704,no,01,p,36.21
CFAP107,cilia and flagella associated protein 107,Approved,1p36.21,ENSG00000157330,no,01,p,36.21
CHCHD2P6,coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 6,Approved,1p36.21,ENSG00000235084,no,01,p,36.21
CTRC,chymotrypsin C,Approved,1p36.21,ENSG00000162438,no,01,p,36.21
DDI2,DNA damage inducible 1 homolog 2,Approved,1p36.21,ENSG00000197312,no,01,p,36.21
DHRS3,dehydrogenase/reductase 3,Approved,1p36.21,ENSG00000162496,no,01,p,36.21
DNAJC16,DnaJ heat shock protein family (Hsp40) member C16,Approved,1p36.21,ENSG00000116138,no,01,p,36.21
EFHD2,EF-hand domain family member D2,Approved,1p36.21,ENSG00000142634,no,01,p,36.21
EFHD2-AS1,EFHD2 antisense RNA 1,Approved,1p36.21,ENSG00000228140,no,01,p,36.21
FBLIM1,filamin binding LIM protein 1,Approved,1p36.21,ENSG00000162458,no,01,p,36.21
FHAD1,forkhead associated phosphopeptide binding domain 1,Approved,1p36.21,ENSG00000142621,no,01,p,36.21
FHAD1-AS1,FHAD1 antisense RNA 1,Approved,1p36.21,ENSG00000233485,no,01,p,36.21
HNRNPCL1,heterogeneous nuclear ribonucleoprotein C like 1,Approved,1p36.21,ENSG00000179172,no,01,p,36.21
HNRNPCL2,heterogeneous nuclear ribonucleoprotein C like 2,Approved,1p36.21,ENSG00000275774,no,01,p,36.21
HNRNPCL3,heterogeneous nuclear ribonucleoprotein C like 3,Approved,1p36.21,ENSG00000277058,no,01,p,36.21
HNRNPCL4,heterogeneous nuclear ribonucleoprotein C like 4,Approved,1p36.21,ENSG00000179412,no,01,p,36.21
KAZN,"kazrin, periplakin interacting protein",Approved,1p36.21,ENSG00000189337,no,01,p,36.21
KAZN-AS1,KAZN antisense RNA 1,Approved,1p36.21,ENSG00000234593,no,01,p,36.21
LINC01784,long intergenic non-protein coding RNA 1784,Approved,1p36.21,ENSG00000228338,no,01,p,36.21
LINC02766,long intergenic non-protein coding RNA 2766,Approved,1p36.21,ENSG00000229484,no,01,p,36.21
LRRC38,leucine rich repeat containing 38,Approved,1p36.21,ENSG00000162494,no,01,p,36.21
MFFP1,MFF pseudogene 1,Approved,1p36.21,ENSG00000215720,no,01,p,36.21
NPPA-AS1,NPPA antisense RNA 1,Approved,1p36.21,ENSG00000242349,no,01,p,36.21
PDPN,podoplanin,Approved,1p36.21,ENSG00000162493,no,01,p,36.21
PLEKHM2,pleckstrin homology and RUN domain containing M2,Approved,1p36.21,ENSG00000116786,no,01,p,36.21
PRAMEF1,PRAME family member 1,Approved,1p36.21,ENSG00000116721,no,01,p,36.21
PRAMEF2,PRAME family member 2,Approved,1p36.21,ENSG00000120952,no,01,p,36.21
PRAMEF4,PRAME family member 4,Approved,1p36.21,ENSG00000243073,no,01,p,36.21
PRAMEF5,PRAME family member 5,Approved,1p36.21,ENSG00000270601,no,01,p,36.21
PRAMEF6,PRAME family member 6,Approved,1p36.21,ENSG00000232423,no,01,p,36.21
PRAMEF7,PRAME family member 7,Approved,1p36.21,ENSG00000204510,no,01,p,36.21
PRAMEF8,PRAME family member 8,Approved,1p36.21,ENSG00000182330,no,01,p,36.21
PRAMEF9,PRAME family member 9,Approved,1p36.21,ENSG00000204505,no,01,p,36.21
PRAMEF10,PRAME family member 10,Approved,1p36.21,ENSG00000187545,no,01,p,36.21
PRAMEF11,PRAME family member 11,Approved,1p36.21,ENSG00000239810,no,01,p,36.21
PRAMEF12,PRAME family member 12,Approved,1p36.21,ENSG00000116726,no,01,p,36.21
PRAMEF13,PRAME family member 13,Approved,1p36.21,ENSG00000279169,no,01,p,36.21
PRAMEF14,PRAME family member 14,Approved,1p36.21,ENSG00000204481,no,01,p,36.21
PRAMEF15,PRAME family member 15,Approved,1p36.21,ENSG00000204501,no,01,p,36.21
PRAMEF17,PRAME family member 17,Approved,1p36.21,ENSG00000204479,no,01,p,36.21
PRAMEF18,PRAME family member 18,Approved,1p36.21,ENSG00000279804,no,01,p,36.21
PRAMEF19,PRAME family member 19,Approved,1p36.21,ENSG00000204480,no,01,p,36.21
PRAMEF20,PRAME family member 20,Approved,1p36.21,ENSG00000204478,no,01,p,36.21
PRAMEF25,PRAME family member 25,Approved,1p36.21,ENSG00000229571,no,01,p,36.21
PRAMEF26,PRAME family member 26,Approved,1p36.21,ENSG00000280267,no,01,p,36.21
PRAMEF27,PRAME family member 27,Approved,1p36.21,ENSG00000274764,no,01,p,36.21
PRAMEF28P,"PRAME family member 28, pseudogene",Approved,1p36.21,ENSG00000274178,no,01,p,36.21
PRAMEF29P,"PRAME family member 29, pseudogene",Approved,1p36.21,ENSG00000234064,no,01,p,36.21
PRAMEF30P,"PRAME family member 30, pseudogene",Approved,1p36.21,ENSG00000231103,no,01,p,36.21
PRAMEF31P,"PRAME family member 31, pseudogene",Approved,1p36.21,ENSG00000250894,no,01,p,36.21
PRAMEF32P,"PRAME family member 32, pseudogene",Approved,1p36.21,ENSG00000231219,no,01,p,36.21
PRAMEF33,PRAME family member 33,Approved,1p36.21,ENSG00000237700,no,01,p,36.21
PRAMEF34P,"PRAME family member 34, pseudogene",Approved,1p36.21,ENSG00000277862,no,01,p,36.21
PRAMEF35P,"PRAME family member 35, pseudogene",Approved,1p36.21,ENSG00000236179,no,01,p,36.21
PRAMEF36P,"PRAME family member 36, pseudogene",Approved,1p36.21,ENSG00000229978,no,01,p,36.21
PRDM2,PR/SET domain 2,Approved,1p36.21,ENSG00000116731,no,01,p,36.21
RNA5SP41,"RNA, 5S ribosomal pseudogene 41",Approved,1p36.21,ENSG00000222952,no,01,p,36.21
RNU6-771P,"RNA, U6 small nuclear 771, pseudogene",Approved,1p36.21,ENSG00000207511,no,01,p,36.21
RNU6-1072P,"RNA, U6 small nuclear 1072, pseudogene",Approved,1p36.21,ENSG00000207434,no,01,p,36.21
RNU6-1265P,"RNA, U6 small nuclear 1265, pseudogene",Approved,1p36.21,ENSG00000252151,no,01,p,36.21
RNU7-179P,"RNA, U7 small nuclear 179 pseudogene",Approved,1p36.21,ENSG00000252417,no,01,p,36.21
RPL12P14,ribosomal protein L12 pseudogene 14,Approved,1p36.21,ENSG00000224321,no,01,p,36.21
RSC1A1,regulator of solute carriers 1,Approved,1p36.21,ENSG00000215695,no,01,p,36.21
SLC25A34,solute carrier family 25 member 34,Approved,1p36.21,ENSG00000162461,no,01,p,36.21
SLC25A34-AS1,SLC25A34 and TMEM82 antisense RNA 1,Approved,1p36.21,ENSG00000224459,no,01,p,36.21
SNORA59A,"small nucleolar RNA, H/ACA box 59A",Approved,1p36.21,ENSG00000239149,no,01,p,36.21
SPEN-AS1,SPEN antisense RNA 1,Approved,1p36.21,ENSG00000179743,no,01,p,36.21
TBCAP2,tubulin folding cofactor A pseudogene 2,Approved,1p36.21,ENSG00000235829,no,01,p,36.21
TMEM51,transmembrane protein 51,Approved,1p36.21,ENSG00000171729,no,01,p,36.21
TMEM51-AS1,TMEM51 antisense RNA 1,Approved,1p36.21,ENSG00000175147,no,01,p,36.21
TMEM51-AS2,TMEM51 antisense RNA 2,Approved,1p36.21,ENSG00000204464,no,01,p,36.21
TMEM82,transmembrane protein 82,Approved,1p36.21,ENSG00000162460,no,01,p,36.21
UQCRHL,ubiquinol-cytochrome c reductase hinge protein like,Approved,1p36.21,ENSG00000233954,no,01,p,36.21
ZBTB2P1,ZBTB2 pseudogene 1,Approved,1p36.21,ENSG00000278480,no,01,p,36.21
PRAMEF22,PRAME family member 22,Approved,1p36.21 alternate reference locus,ENSG00000276816,no,01,p,36.21 alternate reference locus
SPEN,spen family transcriptional repressor,Approved,1p36.21-p36.13,ENSG00000065526,no,01,p,36.21-p36.13
AGTRAP,angiotensin II receptor associated protein,Approved,1p36.22,ENSG00000177674,no,01,p,36.22
ANGPTL7,angiopoietin like 7,Approved,1p36.22,ENSG00000171819,no,01,p,36.22
C1orf127,chromosome 1 open reading frame 127,Approved,1p36.22,ENSG00000175262,no,01,p,36.22
C1orf167,chromosome 1 open reading frame 167,Approved,1p36.22,ENSG00000215910,no,01,p,36.22
C1orf167-AS1,C1orf167 antisense RNA 1,Approved,1p36.22,ENSG00000177553,no,01,p,36.22
CASZ1,castor zinc finger 1,Approved,1p36.22,ENSG00000130940,no,01,p,36.22
CENPS,centromere protein S,Approved,1p36.22,ENSG00000175279,no,01,p,36.22
CENPS-CORT,CENPS-CORT readthrough,Approved,1p36.22,ENSG00000251503,no,01,p,36.22
CFL1P6,cofilin 1 pseudogene 6,Approved,1p36.22,ENSG00000215785,no,01,p,36.22
CLCN6,chloride voltage-gated channel 6,Approved,1p36.22,ENSG00000011021,no,01,p,36.22
CLSTN1,calsyntenin 1,Approved,1p36.22,ENSG00000171603,no,01,p,36.22
CORT,cortistatin,Approved,1p36.22,ENSG00000241563,no,01,p,36.22
CTNNBIP1,catenin beta interacting protein 1,Approved,1p36.22,ENSG00000178585,no,01,p,36.22
DFFA,DNA fragmentation factor subunit alpha,Approved,1p36.22,ENSG00000160049,no,01,p,36.22
DISP3,dispatched RND transporter family member 3,Approved,1p36.22,ENSG00000204624,no,01,p,36.22
DRAXIN,dorsal inhibitory axon guidance protein,Approved,1p36.22,ENSG00000162490,no,01,p,36.22
EXOSC10,exosome component 10,Approved,1p36.22,ENSG00000171824,no,01,p,36.22
EXOSC10-AS1,EXOSC10 antisense RNA 1,Approved,1p36.22,ENSG00000230337,no,01,p,36.22
FBXO2,F-box protein 2,Approved,1p36.22,ENSG00000116661,no,01,p,36.22
FBXO6,F-box protein 6,Approved,1p36.22,ENSG00000116663,no,01,p,36.22
FBXO44,F-box protein 44,Approved,1p36.22,ENSG00000132879,no,01,p,36.22
GPR157,G protein-coupled receptor 157,Approved,1p36.22,ENSG00000180758,no,01,p,36.22
H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,Approved,1p36.22,ENSG00000049239,no,01,p,36.22
HSPE1P24,heat shock protein family E (Hsp10) member 1 pseudogene 24,Approved,1p36.22,ENSG00000225158,no,01,p,36.22
KIAA2013,KIAA2013,Approved,1p36.22,ENSG00000116685,no,01,p,36.22
KIF1B,kinesin family member 1B,Approved,1p36.22,ENSG00000054523,no,01,p,36.22
LINC01647,long intergenic non-protein coding RNA 1647,Approved,1p36.22,ENSG00000235643,no,01,p,36.22
LINC02606,long intergenic non-protein coding RNA 2606,Approved,1p36.22,ENSG00000284693,no,01,p,36.22
LNCTAM34A,long non coding transcriptional activator of miR34a,Approved,1p36.22,ENSG00000234546,no,01,p,36.22
LZIC,leucine zipper and CTNNBIP1 domain containing,Approved,1p36.22,ENSG00000162441,no,01,p,36.22
MAD2L2,mitotic arrest deficient 2 like 2,Approved,1p36.22,ENSG00000116670,no,01,p,36.22
MASP2,MBL associated serine protease 2,Approved,1p36.22,ENSG00000009724,no,01,p,36.22
MFN2,mitofusin 2,Approved,1p36.22,ENSG00000116688,no,01,p,36.22
MIIP,migration and invasion inhibitory protein,Approved,1p36.22,ENSG00000116691,no,01,p,36.22
MIR34A,microRNA 34a,Approved,1p36.22,ENSG00000284357,no,01,p,36.22
MIR34AHG,MIR34A host gene,Approved,1p36.22,ENSG00000228526,no,01,p,36.22
MIR5697,microRNA 5697,Approved,1p36.22,ENSG00000265521,no,01,p,36.22
MTCYBP45,MT-CYB pseudogene 45,Approved,1p36.22,ENSG00000224338,no,01,p,36.22
MTHFR,methylenetetrahydrofolate reductase,Approved,1p36.22,ENSG00000177000,no,01,p,36.22
MTOR,mechanistic target of rapamycin kinase,Approved,1p36.22,ENSG00000198793,no,01,p,36.22
MTOR-AS1,MTOR antisense RNA 1,Approved,1p36.22,ENSG00000225602,no,01,p,36.22
MZT1P1,mitotic spindle organizing protein 1 pseudogene 1,Approved,1p36.22,ENSG00000271264,no,01,p,36.22
NMNAT1,nicotinamide nucleotide adenylyltransferase 1,Approved,1p36.22,ENSG00000173614,no,01,p,36.22
NPPA,natriuretic peptide A,Approved,1p36.22,ENSG00000175206,no,01,p,36.22
NPPB,natriuretic peptide B,Approved,1p36.22,ENSG00000120937,no,01,p,36.22
PEX14,peroxisomal biogenesis factor 14,Approved,1p36.22,ENSG00000142655,no,01,p,36.22
PGAM1P11,phosphoglycerate mutase 1 pseudogene 11,Approved,1p36.22,ENSG00000233623,no,01,p,36.22
PGD,phosphogluconate dehydrogenase,Approved,1p36.22,ENSG00000142657,no,01,p,36.22
PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",Approved,1p36.22,ENSG00000171608,no,01,p,36.22
PIK3CD-AS1,PIK3CD antisense RNA 1,Approved,1p36.22,ENSG00000179840,no,01,p,36.22
PIK3CD-AS2,PIK3CD antisense RNA 2,Approved,1p36.22,ENSG00000231789,no,01,p,36.22
PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",Approved,1p36.22,ENSG00000083444,no,01,p,36.22
RBP7,retinol binding protein 7,Approved,1p36.22,ENSG00000162444,no,01,p,36.22
RN7SKP269,RN7SK pseudogene 269,Approved,1p36.22,ENSG00000202415,no,01,p,36.22
RN7SL614P,"RNA, 7SL, cytoplasmic 614, pseudogene",Approved,1p36.22,ENSG00000243267,no,01,p,36.22
RN7SL649P,"RNA, 7SL, cytoplasmic 649, pseudogene",Approved,1p36.22,ENSG00000243539,no,01,p,36.22
RN7SL731P,"RNA, 7SL, cytoplasmic 731, pseudogene",Approved,1p36.22,ENSG00000264501,no,01,p,36.22
RNA5SP40,"RNA, 5S ribosomal pseudogene 40",Approved,1p36.22,ENSG00000252956,no,01,p,36.22
RNU5E-1,"RNA, U5E small nuclear 1",Approved,1p36.22,ENSG00000199347,no,01,p,36.22
RNU5E-4P,"RNA, U5E small nuclear 4, pseudogene",Approved,1p36.22,ENSG00000201801,no,01,p,36.22
RNU6-37P,"RNA, U6 small nuclear 37, pseudogene",Approved,1p36.22,ENSG00000199562,no,01,p,36.22
RNU6-291P,"RNA, U6 small nuclear 291, pseudogene",Approved,1p36.22,ENSG00000207451,no,01,p,36.22
RNU6-537P,"RNA, U6 small nuclear 537, pseudogene",Approved,1p36.22,ENSG00000253086,no,01,p,36.22
RNU6-777P,"RNA, U6 small nuclear 777, pseudogene",Approved,1p36.22,ENSG00000201135,no,01,p,36.22
RNU6-828P,"RNA, U6 small nuclear 828, pseudogene",Approved,1p36.22,ENSG00000201746,no,01,p,36.22
RNU6ATAC18P,"RNA, U6atac small nuclear 18, pseudogene",Approved,1p36.22,ENSG00000221340,no,01,p,36.22
RPL10P17,ribosomal protein L10 pseudogene 17,Approved,1p36.22,ENSG00000225196,no,01,p,36.22
RPL23AP89,ribosomal protein L23a pseudogene 89,Approved,1p36.22,ENSG00000227875,no,01,p,36.22
RPL39P6,ribosomal protein L39 pseudogene 6,Approved,1p36.22,ENSG00000238173,no,01,p,36.22
SBF1P2,SBF1 pseudogene 2,Approved,1p36.22,ENSG00000224904,no,01,p,36.22
